organism	domain	temperature	taxid	lineage_text	superkingdom	phylum	class	order	family	genus
acetobacterium_paludosum	Bacteria	20	52693	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_sp	Bacteria	30	1872094	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_tundrae	Bacteria	22	132932	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_wieringae	Bacteria	30	52694	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_woodii	Bacteria	30	33952	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetogenium_kivui	Bacteria	60	2325	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter	2	1239	186801	68295	186814	1754
acetohalobium_arabaticum	Bacteria	37	28187	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Halanaerobiales; Halobacteroidaceae; Acetohalobium	2	1239	186801	53433	53434	28186
acetomicrobium_flavidum	Bacteria	53	49896	cellular organisms; Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Acetomicrobium	2	508458	649775	649776	649777	49894
acetomicrobium_mobile	Bacteria	55	97477	cellular organisms; Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Acetomicrobium	2	508458	649775	649776	649777	49894
acetomonas_oxydans	Bacteria	26	442	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	2	1224	28211	204441	433	441
acetonema_longum	Bacteria	30	2374	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Acetonema	2	1239	909932	909929	1843490	2373
acetonema_sp	Bacteria	30	1871329	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae; Acetonema	2	1239	909932	909929	1843490	2373
achaetomiella_virescens	Eukaryota	24	1934374	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Collariella	2759	4890	147550	5139	35718	1934365
achaetomium_globosum	Eukaryota	31	159605	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Achaetomium	2759	4890	147550	5139	35718	79812
achaetomium_luteum	Eukaryota	30	1077793	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Achaetomium	2759	4890	147550	5139	35718	79812
achaetomium_macrosporum	Eukaryota	24	79813	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Achaetomium	2759	4890	147550	5139	35718	79812
achaetomium_strumarium	Eukaryota	24	79814	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Achaetomium	2759	4890	147550	5139	35718	79812
achlya_ambisexualis	Eukaryota	22	4768	cellular organisms; Eukaryota; Stramenopiles; Oomycetes; Saprolegniales; Saprolegniaceae; Achlya	2759	NA	4762	4763	4764	4765
achlya_americana	Eukaryota	22	112026	cellular organisms; Eukaryota; Stramenopiles; Oomycetes; Saprolegniales; Saprolegniaceae; Achlya	2759	NA	4762	4763	4764	4765
achlya_bisexualis	Eukaryota	24	4766	cellular organisms; Eukaryota; Stramenopiles; Oomycetes; Saprolegniales; Saprolegniaceae; Achlya	2759	NA	4762	4763	4764	4765
